Avg.Latency,Avg.Packetloss,misc_fact1,misc_fact2,misc_fact3,misc_fact4,misc_fact5,sw_fact1,sw_fact2,sw_fact3,sw_fact4,Domain Regn. date,Domain Existance date,Orgn.Regn.date,Avg.Throughput,hw_fact1,hw_fact2,hw_fact3,Sum_Desc
730,0.715906346219761,Compatiable,AuthorizedAccess,OverSubscription,PoorDesign,NotProneToHackers,CommonProtocol,IneffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2012-04-11,2012-06-23,2011-08-16,36.8014284868772,Hardwarecompatiability,GoodRouter,ReasonableDevices,AnomLikely
193,2.10516480236318,InCompatiable,UnAuthorizedAccess,OverSubscription,GoodDesign,NotProneToHackers,CommonProtocol,IneffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2001-09-13,2002-03-01,2000-02-22,81.0196292540546,HardwareIncompatiability,OutdatedRouter,ManyDevices,AnomMostLikely
529,1.08306617983811,InCompatiable,UnAuthorizedAccess,OverSubscription,PoorDesign,ProneToHackers,CommonProtocol,IneffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2012-05-11,2012-11-19,2011-12-22,85.7982088593794,HardwareIncompatiability,OutdatedRouter,ManyDevices,AnomMostLikely
255,1.25691726049849,InCompatiable,UnAuthorizedAccess,OverSubscription,PoorDesign,NotProneToHackers,OwnProtocol,IneffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2012-01-12,2012-12-24,2011-04-02,26.3094500991899,Hardwarecompatiability,GoodRouter,ManyDevices,AnomMostLikely
142,2.34854606112906,Compatiable,AuthorizedAccess,OverSubscription,GoodDesign,NotProneToHackers,OwnProtocol,IneffectiveProtocol,DefinedFileLimits,ProperFirewalls,2008-08-11,2010-06-11,2006-10-05,121.455225457496,HardwareIncompatiability,GoodRouter,ManyDevices,AnomLikely
591,1.12425045645777,InCompatiable,UnAuthorizedAccess,ReasonableSubscription,GoodDesign,NotProneToHackers,OwnProtocol,EffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2016-03-04,2016-05-20,2014-11-12,36.2097573660512,Hardwarecompatiability,OutdatedRouter,ReasonableDevices,AnomLikely
75,0.647748496659949,Compatiable,AuthorizedAccess,ReasonableSubscription,GoodDesign,ProneToHackers,OwnProtocol,EffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2000-12-19,2001-07-16,1999-10-17,123.669823925301,Hardwarecompatiability,OutdatedRouter,ReasonableDevices,AnomLikely
102,2.62514180569447,Compatiable,AuthorizedAccess,ReasonableSubscription,PoorDesign,NotProneToHackers,OwnProtocol,EffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2014-07-27,2016-02-23,2014-07-02,71.7344074625588,Hardwarecompatiability,OutdatedRouter,ReasonableDevices,AnomLikely
344,1.36071700407679,InCompatiable,AuthorizedAccess,OverSubscription,PoorDesign,NotProneToHackers,OwnProtocol,IneffectiveProtocol,DefinedFileLimits,ProperFirewalls,2012-04-10,2012-08-18,2011-04-17,138.291760388599,Hardwarecompatiability,GoodRouter,ReasonableDevices,AnomLikely
641,1.24204979449689,InCompatiable,UnAuthorizedAccess,OverSubscription,PoorDesign,ProneToHackers,OwnProtocol,IneffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2010-11-12,2011-12-29,2010-11-06,65.0018491780324,HardwareIncompatiability,OutdatedRouter,ManyDevices,AnomMostLikely
526,0.780787287196988,InCompatiable,AuthorizedAccess,ReasonableSubscription,PoorDesign,NotProneToHackers,OwnProtocol,EffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2013-08-19,2014-07-05,2012-04-22,57.6216257020187,Hardwarecompatiability,GoodRouter,ReasonableDevices,AnomLikely
435,1.75337211957464,Compatiable,AuthorizedAccess,ReasonableSubscription,GoodDesign,ProneToHackers,OwnProtocol,EffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2018-07-10,2020-04-17,2016-11-10,115.861053370863,Hardwarecompatiability,GoodRouter,ReasonableDevices,AnomLikely
71,1.48947146436943,Compatiable,AuthorizedAccess,OverSubscription,PoorDesign,ProneToHackers,OwnProtocol,IneffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2000-05-10,2001-08-21,1999-07-19,15.7251701448628,HardwareIncompatiability,GoodRouter,ReasonableDevices,AnomLikely
358,0.95440276332614,InCompatiable,AuthorizedAccess,ReasonableSubscription,GoodDesign,ProneToHackers,CommonProtocol,IneffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2008-09-03,2008-09-24,2008-05-15,84.8951594073782,Hardwarecompatiability,GoodRouter,ManyDevices,AnomLikely
159,2.72893428410304,InCompatiable,UnAuthorizedAccess,OverSubscription,GoodDesign,NotProneToHackers,OwnProtocol,IneffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2008-08-04,2009-01-13,2007-02-07,77.4681786485895,HardwareIncompatiability,GoodRouter,ManyDevices,AnomMostLikely
138,2.72862166443802,Compatiable,UnAuthorizedAccess,ReasonableSubscription,PoorDesign,ProneToHackers,CommonProtocol,EffectiveProtocol,DefinedFileLimits,ProperFirewalls,2009-02-06,2010-09-02,2008-08-29,77.924343886485,HardwareIncompatiability,GoodRouter,ReasonableDevices,AnomLikely
599,1.98231408926184,InCompatiable,UnAuthorizedAccess,ReasonableSubscription,GoodDesign,NotProneToHackers,OwnProtocol,IneffectiveProtocol,DefinedFileLimits,ProperFirewalls,2003-06-20,2004-02-27,2002-02-10,118.419981149231,HardwareIncompatiability,OutdatedRouter,ReasonableDevices,AnomLikely
271,2.78728287806114,InCompatiable,UnAuthorizedAccess,OverSubscription,PoorDesign,ProneToHackers,CommonProtocol,IneffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2001-06-15,2003-04-16,2000-04-15,50.7112853499783,Hardwarecompatiability,GoodRouter,ReasonableDevices,AnomLikely
51,2.33380467538419,Compatiable,AuthorizedAccess,OverSubscription,GoodDesign,ProneToHackers,OwnProtocol,IneffectiveProtocol,DefinedFileLimits,ProperFirewalls,2005-01-17,2005-06-13,2004-04-11,84.8401692271168,Hardwarecompatiability,GoodRouter,ManyDevices,AnomLikely
769,2.2117391160945,Compatiable,AuthorizedAccess,OverSubscription,GoodDesign,NotProneToHackers,CommonProtocol,EffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2004-02-27,2004-10-20,2003-01-11,28.4593725745757,Hardwarecompatiability,GoodRouter,ManyDevices,NoAnomaly
796,1.35624468363412,Compatiable,UnAuthorizedAccess,ReasonableSubscription,GoodDesign,ProneToHackers,CommonProtocol,IneffectiveProtocol,DefinedFileLimits,ProperFirewalls,2003-01-06,2003-06-01,2001-05-27,74.624458747014,HardwareIncompatiability,GoodRouter,ReasonableDevices,AnomLikely
193,0.286790021516181,Compatiable,UnAuthorizedAccess,ReasonableSubscription,GoodDesign,NotProneToHackers,OwnProtocol,EffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2008-08-07,2009-10-21,2007-06-15,75.5079121618861,Hardwarecompatiability,GoodRouter,ReasonableDevices,AnomLikely
770,1.83289613061059,InCompatiable,AuthorizedAccess,OverSubscription,GoodDesign,ProneToHackers,OwnProtocol,EffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2010-05-15,2012-02-28,2009-10-25,75.8453497102761,HardwareIncompatiability,GoodRouter,ReasonableDevices,AnomLikely
484,1.42026061786393,InCompatiable,AuthorizedAccess,ReasonableSubscription,GoodDesign,NotProneToHackers,CommonProtocol,EffectiveProtocol,DefinedFileLimits,ProperFirewalls,2002-12-24,2003-12-26,2002-11-30,110.788005844747,Hardwarecompatiability,GoodRouter,ReasonableDevices,NoAnomaly
556,0.979695933386987,InCompatiable,AuthorizedAccess,OverSubscription,PoorDesign,NotProneToHackers,OwnProtocol,IneffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2004-07-26,2005-12-28,2004-02-15,53.6331619934318,HardwareIncompatiability,GoodRouter,ManyDevices,AnomMostLikely
594,0.540331685402564,InCompatiable,AuthorizedAccess,ReasonableSubscription,PoorDesign,ProneToHackers,OwnProtocol,IneffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2005-09-10,2006-02-24,2003-10-16,34.7602768927243,Hardwarecompatiability,OutdatedRouter,ReasonableDevices,AnomMostLikely
764,0.835512019220127,Compatiable,AuthorizedAccess,ReasonableSubscription,GoodDesign,ProneToHackers,CommonProtocol,EffectiveProtocol,DefinedFileLimits,ProperFirewalls,2005-10-14,2007-06-28,2005-01-01,89.4010173000073,Hardwarecompatiability,GoodRouter,ManyDevices,NoAnomaly
192,1.29143897996552,InCompatiable,UnAuthorizedAccess,OverSubscription,PoorDesign,NotProneToHackers,OwnProtocol,IneffectiveProtocol,DefinedFileLimits,ProperFirewalls,2016-10-19,2017-06-16,2016-04-15,116.100727950143,HardwareIncompatiability,GoodRouter,ReasonableDevices,AnomLikely
383,2.19557280541079,InCompatiable,UnAuthorizedAccess,OverSubscription,GoodDesign,NotProneToHackers,OwnProtocol,EffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2012-03-23,2012-08-08,2011-04-08,116.543982313054,HardwareIncompatiability,OutdatedRouter,ManyDevices,AnomMostLikely
394,0.347293899421868,InCompatiable,AuthorizedAccess,ReasonableSubscription,GoodDesign,NotProneToHackers,CommonProtocol,EffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2015-04-02,2015-09-14,2014-11-25,43.1507157564426,Hardwarecompatiability,GoodRouter,ReasonableDevices,NoAnomaly
156,2.61903527109963,Compatiable,UnAuthorizedAccess,ReasonableSubscription,PoorDesign,ProneToHackers,OwnProtocol,EffectiveProtocol,DefinedFileLimits,ProperFirewalls,2017-04-20,2018-12-10,2015-07-04,102.67910706601,HardwareIncompatiability,OutdatedRouter,ManyDevices,AnomLikely
358,0.73240699860631,InCompatiable,AuthorizedAccess,ReasonableSubscription,PoorDesign,ProneToHackers,CommonProtocol,EffectiveProtocol,DefinedFileLimits,ProperFirewalls,2018-08-31,2020-01-07,2017-01-26,122.316568974904,Hardwarecompatiability,OutdatedRouter,ReasonableDevices,AnomLikely
165,2.58685053996176,Compatiable,UnAuthorizedAccess,ReasonableSubscription,GoodDesign,NotProneToHackers,OwnProtocol,EffectiveProtocol,DefinedFileLimits,ProperFirewalls,2018-10-17,2019-04-20,2017-04-29,101.864307570308,Hardwarecompatiability,OutdatedRouter,ReasonableDevices,NoAnomaly
668,1.15169461990842,InCompatiable,AuthorizedAccess,OverSubscription,PoorDesign,ProneToHackers,CommonProtocol,IneffectiveProtocol,DefinedFileLimits,ProperFirewalls,2015-05-21,2015-11-26,2014-06-05,75.532784953191,HardwareIncompatiability,GoodRouter,ManyDevices,AnomLikely
698,0.10436244953931,Compatiable,AuthorizedAccess,OverSubscription,PoorDesign,NotProneToHackers,CommonProtocol,IneffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2010-03-26,2011-08-15,2009-01-10,105.887374587971,Hardwarecompatiability,OutdatedRouter,ManyDevices,AnomLikely
590,0.212338570291316,Compatiable,AuthorizedAccess,ReasonableSubscription,PoorDesign,ProneToHackers,OwnProtocol,EffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2008-12-10,2009-06-03,2007-12-29,32.6778178136895,Hardwarecompatiability,OutdatedRouter,ManyDevices,AnomLikely
656,1.47400381308165,InCompatiable,AuthorizedAccess,OverSubscription,PoorDesign,ProneToHackers,CommonProtocol,IneffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2002-08-31,2003-09-18,2000-12-28,60.0641192878957,Hardwarecompatiability,OutdatedRouter,ManyDevices,AnomMostLikely
338,2.09701381115578,InCompatiable,UnAuthorizedAccess,ReasonableSubscription,PoorDesign,ProneToHackers,CommonProtocol,IneffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2012-11-26,2013-01-30,2012-02-13,55.198779961371,Hardwarecompatiability,GoodRouter,ManyDevices,AnomLikely
281,2.87471307891233,Compatiable,UnAuthorizedAccess,OverSubscription,PoorDesign,NotProneToHackers,CommonProtocol,EffectiveProtocol,DefinedFileLimits,ProperFirewalls,2014-12-03,2016-07-23,2014-05-06,21.9408340484694,Hardwarecompatiability,GoodRouter,ManyDevices,AnomLikely
671,0.515842607118073,InCompatiable,AuthorizedAccess,ReasonableSubscription,PoorDesign,NotProneToHackers,OwnProtocol,IneffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2002-07-17,2004-03-13,2000-11-14,94.7362165523779,HardwareIncompatiability,OutdatedRouter,ReasonableDevices,AnomLikely
688,1.03175510683299,Compatiable,UnAuthorizedAccess,ReasonableSubscription,GoodDesign,NotProneToHackers,CommonProtocol,IneffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2018-06-01,2019-11-04,2016-10-26,116.138591260723,HardwareIncompatiability,GoodRouter,ReasonableDevices,AnomLikely
74,0.906651240642873,InCompatiable,UnAuthorizedAccess,OverSubscription,GoodDesign,NotProneToHackers,OwnProtocol,EffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2009-12-04,2010-11-05,2008-10-22,33.2506794533108,Hardwarecompatiability,GoodRouter,ManyDevices,AnomLikely
674,1.05022096906903,InCompatiable,AuthorizedAccess,OverSubscription,PoorDesign,NotProneToHackers,CommonProtocol,IneffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2007-09-05,2008-12-23,2007-04-28,111.785597578641,Hardwarecompatiability,GoodRouter,ManyDevices,AnomLikely
340,1.41817469502793,Compatiable,AuthorizedAccess,OverSubscription,GoodDesign,NotProneToHackers,OwnProtocol,IneffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2010-04-14,2010-12-22,2010-01-04,64.6969505722039,Hardwarecompatiability,GoodRouter,ManyDevices,AnomLikely
50,1.65877856817153,Compatiable,AuthorizedAccess,OverSubscription,PoorDesign,NotProneToHackers,OwnProtocol,IneffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2018-01-01,2018-07-03,2017-01-29,58.7478073065932,HardwareIncompatiability,OutdatedRouter,ReasonableDevices,AnomMostLikely
603,1.01410264264131,InCompatiable,UnAuthorizedAccess,OverSubscription,PoorDesign,ProneToHackers,CommonProtocol,EffectiveProtocol,DefinedFileLimits,ProperFirewalls,2015-11-20,2017-06-16,2014-10-14,16.6009824535187,Hardwarecompatiability,OutdatedRouter,ReasonableDevices,AnomLikely
179,1.83985227808419,Compatiable,UnAuthorizedAccess,OverSubscription,PoorDesign,NotProneToHackers,OwnProtocol,IneffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2005-01-21,2006-03-21,2003-06-17,16.2544884750261,HardwareIncompatiability,GoodRouter,ReasonableDevices,AnomLikely
334,1.27637910822451,InCompatiable,UnAuthorizedAccess,ReasonableSubscription,PoorDesign,ProneToHackers,CommonProtocol,IneffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2003-05-01,2005-01-31,2001-08-09,130.054804414143,Hardwarecompatiability,GoodRouter,ManyDevices,AnomLikely
614,2.19684999487758,InCompatiable,UnAuthorizedAccess,ReasonableSubscription,GoodDesign,NotProneToHackers,OwnProtocol,IneffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2017-02-15,2017-12-15,2015-12-27,118.430026244827,Hardwarecompatiability,OutdatedRouter,ManyDevices,AnomMostLikely
770,1.43174190900895,InCompatiable,UnAuthorizedAccess,OverSubscription,PoorDesign,NotProneToHackers,CommonProtocol,IneffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2010-05-18,2010-11-05,2009-12-07,89.9872778797946,Hardwarecompatiability,GoodRouter,ReasonableDevices,AnomLikely
460,1.18789277480586,InCompatiable,AuthorizedAccess,ReasonableSubscription,GoodDesign,ProneToHackers,OwnProtocol,EffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2007-09-27,2007-10-21,2006-02-09,49.338002081205,HardwareIncompatiability,OutdatedRouter,ManyDevices,AnomLikely
253,0.065362970030424,Compatiable,UnAuthorizedAccess,OverSubscription,PoorDesign,ProneToHackers,OwnProtocol,IneffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2016-06-06,2016-10-29,2015-08-11,64.7120991677842,HardwareIncompatiability,OutdatedRouter,ManyDevices,AnomMostLikely
180,1.01184945341502,InCompatiable,UnAuthorizedAccess,OverSubscription,GoodDesign,NotProneToHackers,CommonProtocol,IneffectiveProtocol,DefinedFileLimits,ProperFirewalls,2000-08-06,2002-05-07,1999-05-22,71.6786518021999,HardwareIncompatiability,GoodRouter,ManyDevices,AnomLikely
307,0.290601417717066,InCompatiable,UnAuthorizedAccess,ReasonableSubscription,GoodDesign,ProneToHackers,CommonProtocol,EffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2002-12-14,2004-10-28,2002-07-09,112.318893444756,HardwareIncompatiability,OutdatedRouter,ManyDevices,AnomMostLikely
715,2.73762418404061,Compatiable,AuthorizedAccess,ReasonableSubscription,PoorDesign,NotProneToHackers,OwnProtocol,EffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2016-10-18,2018-02-14,2015-06-24,103.201028928572,Hardwarecompatiability,GoodRouter,ManyDevices,AnomLikely
609,0.613291236254246,Compatiable,AuthorizedAccess,ReasonableSubscription,GoodDesign,NotProneToHackers,CommonProtocol,IneffectiveProtocol,DefinedFileLimits,ProperFirewalls,2012-02-28,2012-10-16,2011-12-19,33.4945384979509,HardwareIncompatiability,GoodRouter,ReasonableDevices,NoAnomaly
319,0.815504651100075,InCompatiable,UnAuthorizedAccess,ReasonableSubscription,PoorDesign,NotProneToHackers,CommonProtocol,IneffectiveProtocol,DefinedFileLimits,ProperFirewalls,1999-11-25,2001-10-15,1998-06-28,149.749598229882,Hardwarecompatiability,GoodRouter,ReasonableDevices,AnomLikely
571,2.5414813881046,InCompatiable,AuthorizedAccess,ReasonableSubscription,PoorDesign,NotProneToHackers,OwnProtocol,IneffectiveProtocol,DefinedFileLimits,ProperFirewalls,2000-02-27,2001-06-08,2000-02-24,141.112011062709,HardwareIncompatiability,GoodRouter,ManyDevices,AnomLikely
230,0.590246363566779,InCompatiable,UnAuthorizedAccess,ReasonableSubscription,GoodDesign,ProneToHackers,OwnProtocol,EffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2007-09-11,2008-11-22,2006-10-05,30.7203737099809,HardwareIncompatiability,GoodRouter,ReasonableDevices,AnomLikely
232,1.78690546944876,Compatiable,AuthorizedAccess,OverSubscription,PoorDesign,NotProneToHackers,OwnProtocol,EffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2000-12-29,2001-04-29,1999-04-05,32.1920850266993,HardwareIncompatiability,OutdatedRouter,ManyDevices,AnomLikely
661,2.71800820379894,InCompatiable,AuthorizedAccess,OverSubscription,PoorDesign,ProneToHackers,OwnProtocol,EffectiveProtocol,DefinedFileLimits,ImProperFirewalls,1998-07-04,1999-09-22,1998-06-10,102.608302050675,HardwareIncompatiability,OutdatedRouter,ManyDevices,AnomMostLikely
324,0.534958309633673,Compatiable,UnAuthorizedAccess,OverSubscription,GoodDesign,ProneToHackers,OwnProtocol,EffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2004-02-29,2004-04-07,2003-03-10,109.793795587558,HardwareIncompatiability,GoodRouter,ReasonableDevices,AnomLikely
279,1.42281751320068,Compatiable,AuthorizedAccess,ReasonableSubscription,PoorDesign,NotProneToHackers,CommonProtocol,EffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2011-01-13,2012-09-25,2010-07-06,56.6939124778305,HardwareIncompatiability,OutdatedRouter,ReasonableDevices,AnomLikely
487,0.504580465593681,InCompatiable,UnAuthorizedAccess,ReasonableSubscription,PoorDesign,ProneToHackers,OwnProtocol,EffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2012-02-08,2013-03-07,2010-09-21,21.2982052165468,HardwareIncompatiability,GoodRouter,ReasonableDevices,AnomLikely
205,2.57559033400401,Compatiable,UnAuthorizedAccess,OverSubscription,GoodDesign,ProneToHackers,CommonProtocol,EffectiveProtocol,DefinedFileLimits,ProperFirewalls,2017-05-05,2018-08-20,2015-08-09,52.3550791696707,Hardwarecompatiability,OutdatedRouter,ManyDevices,AnomLikely
154,1.63423076050707,Compatiable,UnAuthorizedAccess,OverSubscription,PoorDesign,NotProneToHackers,OwnProtocol,IneffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2014-09-21,2016-02-26,2013-08-25,76.4549998570176,HardwareIncompatiability,OutdatedRouter,ManyDevices,AnomMostLikely
612,2.02510890200075,Compatiable,UnAuthorizedAccess,OverSubscription,PoorDesign,ProneToHackers,CommonProtocol,EffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2000-05-24,2001-02-20,1998-11-29,127.451952895486,HardwareIncompatiability,OutdatedRouter,ManyDevices,AnomMostLikely
202,1.97583572677431,Compatiable,AuthorizedAccess,OverSubscription,PoorDesign,NotProneToHackers,OwnProtocol,EffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2003-05-31,2005-01-17,2003-04-23,77.0598947308643,HardwareIncompatiability,GoodRouter,ManyDevices,AnomLikely
142,0.598992458898513,InCompatiable,UnAuthorizedAccess,ReasonableSubscription,GoodDesign,NotProneToHackers,CommonProtocol,IneffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2002-10-30,2003-03-05,2000-12-24,124.660925591979,HardwareIncompatiability,OutdatedRouter,ReasonableDevices,AnomLikely
543,0.978078147999371,InCompatiable,AuthorizedAccess,ReasonableSubscription,GoodDesign,NotProneToHackers,CommonProtocol,EffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2006-04-30,2007-06-10,2004-10-09,17.3901614659242,HardwareIncompatiability,GoodRouter,ManyDevices,AnomLikely
473,0.147843777607725,Compatiable,UnAuthorizedAccess,ReasonableSubscription,GoodDesign,NotProneToHackers,OwnProtocol,EffectiveProtocol,DefinedFileLimits,ProperFirewalls,2003-01-18,2004-07-07,2001-03-20,61.5260447124662,HardwareIncompatiability,GoodRouter,ReasonableDevices,NoAnomaly
749,0.294948253641739,Compatiable,UnAuthorizedAccess,ReasonableSubscription,PoorDesign,ProneToHackers,OwnProtocol,EffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2018-01-25,2018-12-30,2016-04-09,138.677974565995,HardwareIncompatiability,GoodRouter,ManyDevices,AnomLikely
459,0.667524867303186,InCompatiable,UnAuthorizedAccess,OverSubscription,GoodDesign,ProneToHackers,OwnProtocol,IneffectiveProtocol,DefinedFileLimits,ProperFirewalls,2012-04-10,2013-03-25,2011-01-31,116.464482604763,Hardwarecompatiability,OutdatedRouter,ManyDevices,AnomMostLikely
244,0.640511769118531,Compatiable,AuthorizedAccess,ReasonableSubscription,GoodDesign,ProneToHackers,OwnProtocol,EffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2005-02-19,2005-08-13,2003-08-15,60.4102709792659,Hardwarecompatiability,OutdatedRouter,ReasonableDevices,AnomLikely
171,2.0435732083397,InCompatiable,AuthorizedAccess,ReasonableSubscription,GoodDesign,ProneToHackers,CommonProtocol,EffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2016-07-07,2018-03-03,2015-03-09,133.933461926229,HardwareIncompatiability,OutdatedRouter,ManyDevices,AnomLikely
701,1.66924678540972,InCompatiable,AuthorizedAccess,ReasonableSubscription,GoodDesign,NotProneToHackers,OwnProtocol,EffectiveProtocol,DefinedFileLimits,ProperFirewalls,2003-09-29,2004-10-13,2001-11-27,112.832276970962,Hardwarecompatiability,OutdatedRouter,ReasonableDevices,NoAnomaly
317,0.473803342754358,InCompatiable,AuthorizedAccess,OverSubscription,PoorDesign,ProneToHackers,OwnProtocol,EffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2006-09-12,2007-08-22,2005-07-20,91.8191374621158,Hardwarecompatiability,OutdatedRouter,ReasonableDevices,AnomLikely
256,2.46282875035649,InCompatiable,UnAuthorizedAccess,ReasonableSubscription,GoodDesign,NotProneToHackers,CommonProtocol,IneffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2005-01-14,2006-08-01,2003-08-25,161.587440227841,HardwareIncompatiability,GoodRouter,ReasonableDevices,AnomLikely
470,1.80044967509941,Compatiable,AuthorizedAccess,ReasonableSubscription,PoorDesign,NotProneToHackers,OwnProtocol,IneffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,1999-04-18,1999-10-17,1998-01-11,109.862610095379,Hardwarecompatiability,GoodRouter,ManyDevices,AnomLikely
469,2.66292904161918,InCompatiable,AuthorizedAccess,OverSubscription,GoodDesign,ProneToHackers,OwnProtocol,IneffectiveProtocol,DefinedFileLimits,ProperFirewalls,2000-06-03,2000-09-09,1998-11-03,38.3222918368981,HardwareIncompatiability,OutdatedRouter,ReasonableDevices,AnomLikely
186,1.06744874790633,Compatiable,AuthorizedAccess,OverSubscription,PoorDesign,ProneToHackers,CommonProtocol,EffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2012-10-21,2013-01-03,2011-12-04,116.75611970171,HardwareIncompatiability,GoodRouter,ManyDevices,AnomLikely
245,0.894424088965595,Compatiable,AuthorizedAccess,OverSubscription,GoodDesign,NotProneToHackers,CommonProtocol,IneffectiveProtocol,DefinedFileLimits,ProperFirewalls,2006-08-10,2007-09-28,2005-08-03,73.6551784197149,HardwareIncompatiability,OutdatedRouter,ManyDevices,AnomLikely
210,2.03081128746779,Compatiable,UnAuthorizedAccess,ReasonableSubscription,PoorDesign,NotProneToHackers,CommonProtocol,EffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2007-01-07,2008-03-16,2005-10-21,18.0943129747847,Hardwarecompatiability,OutdatedRouter,ManyDevices,AnomLikely
786,1.74882037841062,InCompatiable,AuthorizedAccess,ReasonableSubscription,PoorDesign,NotProneToHackers,OwnProtocol,EffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,1998-04-18,1999-03-07,1998-01-04,81.726402774494,Hardwarecompatiability,GoodRouter,ManyDevices,AnomLikely
635,1.85652949441869,Compatiable,AuthorizedAccess,ReasonableSubscription,PoorDesign,NotProneToHackers,CommonProtocol,EffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2019-07-14,2019-12-30,2017-08-25,15.4674350781973,HardwareIncompatiability,OutdatedRouter,ReasonableDevices,AnomLikely
242,1.71448323917669,Compatiable,UnAuthorizedAccess,OverSubscription,PoorDesign,NotProneToHackers,OwnProtocol,IneffectiveProtocol,DefinedFileLimits,ProperFirewalls,2018-06-16,2019-02-14,2017-07-10,36.8489413756615,Hardwarecompatiability,OutdatedRouter,ReasonableDevices,AnomLikely
645,1.9579019569718,InCompatiable,UnAuthorizedAccess,OverSubscription,GoodDesign,NotProneToHackers,OwnProtocol,IneffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2003-07-30,2004-06-23,2002-06-07,76.3449969570052,HardwareIncompatiability,GoodRouter,ReasonableDevices,AnomLikely
210,2.0945308793667,Compatiable,UnAuthorizedAccess,OverSubscription,GoodDesign,NotProneToHackers,CommonProtocol,IneffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2006-05-14,2007-03-16,2005-05-19,33.8462183928287,HardwareIncompatiability,OutdatedRouter,ReasonableDevices,AnomLikely
751,1.21428478019964,InCompatiable,UnAuthorizedAccess,ReasonableSubscription,PoorDesign,ProneToHackers,OwnProtocol,EffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2016-11-23,2018-04-10,2015-10-25,33.352942388167,Hardwarecompatiability,OutdatedRouter,ReasonableDevices,AnomMostLikely
596,1.66071261523441,InCompatiable,UnAuthorizedAccess,OverSubscription,PoorDesign,ProneToHackers,CommonProtocol,IneffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2008-04-24,2009-11-11,2006-07-05,127.528779607208,HardwareIncompatiability,OutdatedRouter,ManyDevices,AnomMostLikely
